"名前","ふりがな","時代","関連（場所・分野）","肩書き","説明","アイコン","図鑑掲載"
"マルクス・アウレリウス","マルクス・アウレリウス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","マルクス・アウレリウスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"コンモドゥス","コンモドゥス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","コンモドゥスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","図鑑"
"セプティミウス・セウェルス","セプティミウス・セウェルス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","セプティミウス・セウェルスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"カラカラ","カラカラ","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","カラカラはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"ディオクレティアヌス","ディオクレティアヌス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ディオクレティアヌスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"コンスタンティヌス","コンスタンティヌス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","コンスタンティヌスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"ユリアヌス","ユリアヌス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ユリアヌスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"テオドシウス","テオドシウス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","テオドシウスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"スパルタクス","スパルタクス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","スパルタクスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"ウェルギリウス","ウェルギリウス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","ウェルギリウスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"オウィディウス","オウィディウス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","オウィディウスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"セネカ","セネカ","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","セネカはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"タキトゥス","タキトゥス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","タキトゥスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
"プリニウス","プリニウス","古代の大国の時代","ローマと地中海","法律と帝国を形づくった人","プリニウスはローマと地中海で共和政、帝政、法律、道路、都市文化に関わりました。広い地域を治める制度と、その負担の両方を考える人物です。","🏛️","カタログのみ"
